label,symbol,status,latest_date,latest_close,ytd_pct,return_5d_pct,return_20d_pct,return_60d_pct,error
ABB Ltd ABBN.SW,ABBN.SW,ok,2026-09-08,79.74,32.1,0.9,-2.5,-3.4,
AMAT,AMAT,ok,2026-09-04,454.71,69.7,-1.5,-15.6,-8.4,
AMD,AMD,ok,2026-09-04,477.57,113.7,2.6,-1.2,5.6,
AMZN,AMZN,ok,2026-09-04,258.51,14.1,-3.0,-5.8,8.6,
ANET,ANET,ok,2026-09-04,193.78,45.0,-0.8,2.7,27.7,
APH,APH,ok,2026-09-04,82.78,18.9,5.0,-2.1,11.1,
ASE Technology ASX,ASX,ok,2026-09-04,37.51,124.7,-0.7,0.3,10.5,
ASML,ASML,ok,2026-09-04,1714.88,48.1,1.1,-1.5,-1.0,
AT&S ATS.VI,ATS.VI,ok,2026-09-08,165.8,405.5,8.2,11.9,-21.0,
AVGO,AVGO,ok,2026-09-04,357.9,3.3,-3.0,-16.3,-3.7,
Ajinomoto 2802.T,2802.T,ok,2026-09-08,5068.0,53.3,-5.0,-3.9,-1.7,
Alfa Laval ALFA.ST,ALFA.ST,ok,2026-09-08,560.0,21.6,-2.6,-1.9,5.5,
Amkor AMKR,AMKR,ok,2026-09-04,47.77,11.8,-0.0,-13.4,-31.2,
Astera Labs ALAB,ALAB,ok,2026-09-04,310.4,72.9,7.2,-7.1,-6.2,
BE Semiconductor BESI.AS,BESI.AS,ok,2026-09-08,194.65,31.4,-0.4,-11.4,-38.1,
Bel Fuse BELFB,BELFB,ok,2026-09-04,243.79,41.2,-2.0,-16.4,-12.0,
Bloom Energy BE,BE,ok,2026-09-04,252.87,156.2,20.0,15.3,8.0,
CARR,CARR,ok,2026-09-04,59.71,12.8,1.6,-6.7,-11.8,
CAT,CAT,ok,2026-09-04,813.94,36.8,1.7,-3.4,-4.8,
CEG,CEG,ok,2026-09-04,298.96,-18.0,8.0,10.9,23.6,
CIEN,CIEN,ok,2026-09-04,321.0,30.5,-15.2,-22.2,-26.1,
