[2026-07-14T07:26:59+00:00] loaded page labels=109 categories=17
[2026-07-14T07:27:04+00:00] market progress 10/114 failed=0
[2026-07-14T07:27:07+00:00] market progress 20/114 failed=0
[2026-07-14T07:27:10+00:00] market progress 30/114 failed=0
[2026-07-14T07:27:13+00:00] market progress 40/114 failed=0
[2026-07-14T07:27:16+00:00] market progress 50/114 failed=0
[2026-07-14T07:27:19+00:00] market progress 60/114 failed=0
[2026-07-14T07:27:23+00:00] market progress 70/114 failed=0
[2026-07-14T07:27:26+00:00] market progress 80/114 failed=0
[2026-07-14T07:27:30+00:00] market progress 90/114 failed=1
[2026-07-14T07:27:34+00:00] market progress 100/114 failed=1
[2026-07-14T07:27:36+00:00] collecting news topics
[2026-07-14T07:27:39+00:00] completed ok=113 failed=1 json=/home/runner/work/compute-grid/compute-grid/data/latest.json
